"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Nova Esperança do Sudoeste (PR)","PR","13","4.951","262,6"
"Foz do Jordão (PR)","PR","14","5.338","262,3"
"Palmeira do Piauí (PI)","PI","13","4.964","261,9"
"Quinta do Sol (PR)","PR","13","4.969","261,6"
"Cerejeiras (RO)","RO","44","16.826","261,5"
"Santa Helena (SC)","SC","6","2.295","261,4"
"Santo Antônio do Caiuá (PR)","PR","7","2.678","261,4"
"Arapuã (PR)","PR","9","3.449","260,9"
"Monte Belo (MG)","MG","33","12.647","260,9"
"Ouro Preto do Oeste (RO)","RO","98","37.573","260,8"
"Jacutinga (MG)","MG","58","22.251","260,7"
"Westfália (RS)","RS","7","2.692","260,0"
"Serra Branca (PB)","PB","33","12.709","259,7"
"Caldas (MG)","MG","34","13.100","259,5"
"Urupês (SP)","SP","32","12.339","259,3"
"Amorinópolis (GO)","GO","9","3.475","259,0"
"Corumbataí do Sul (PR)","PR","10","3.863","258,9"
"Rolante (RS)","RS","49","18.936","258,8"
"Três Arroios (RS)","RS","7","2.706","258,7"
"Estrela Velha (RS)","RS","9","3.480","258,6"
"Mercês (MG)","MG","26","10.073","258,1"
"Paranacity (PR)","PR","26","10.113","257,1"
"Pariconha (AL)","AL","26","10.114","257,1"
"União Paulista (SP)","SP","4","1.557","256,9"
"Rio Fortuna (SC)","SC","11","4.287","256,6"
"Alterosa (MG)","MG","34","13.266","256,3"
"Presidente Castelo Branco (PR)","PR","12","4.684","256,2"
"Japira (PR)","PR","12","4.685","256,1"
"Ciríaco (RS)","RS","12","4.685","256,1"
"Cansanção (BA)","BA","85","33.198","256,0"
"Pinhal Grande (RS)","RS","11","4.298","255,9"
"Caçu (GO)","GO","33","12.901","255,8"
"Pitangueiras (PR)","PR","7","2.742","255,3"
"Angélica (MS)","MS","23","9.016","255,1"
"Quebrangulo (AL)","AL","29","11.373","255,0"
"Nova Brasilândia D'Oeste (RO)","RO","50","19.620","254,8"
"Riachão do Jacuípe (BA)","BA","81","31.832","254,5"
"Ilópolis (RS)","RS","10","3.936","254,1"
"Arvorezinha (RS)","RS","25","9.856","253,7"
"Valença (RJ)","RJ","177","69.841","253,4"
"Vicente Dutra (RS)","RS","13","5.132","253,3"
"Pão de Açúcar (AL)","AL","61","24.123","252,9"
"Quilombo (SC)","SC","25","9.918","252,1"
"Ametista do Sul (RS)","RS","18","7.149","251,8"
"Jacobina (BA)","BA","193","76.686","251,7"
"Trindade (GO)","GO","259","103.024","251,4"
"Dom Aquino (MT)","MT","20","7.964","251,1"
"Esperantina (PI)","PI","94","37.472","250,9"
"Otacílio Costa (SC)","SC","40","15.965","250,5"
"Juscimeira (MT)","MT","28","11.177","250,5"
"Palmeira (PR)","PR","79","31.538","250,5"
"Antônio Prado de Minas (MG)","MG","4","1.600","250,0"
"Curionópolis (PA)","PA","45","18.005","249,9"
"Buriti Alegre (GO)","GO","22","8.819","249,5"
"Bituruna (PR)","PR","39","15.642","249,3"
"Porto Calvo (AL)","AL","64","25.678","249,2"
"Doverlândia (GO)","GO","19","7.637","248,8"
"Pariquera-Açu (SP)","SP","45","18.125","248,3"
"Morretes (PR)","PR","38","15.306","248,3"
"Nova Canaã Paulista (SP)","SP","5","2.015","248,1"
"Belo Vale (MG)","MG","18","7.264","247,8"
"Campo Belo do Sul (SC)","SC","18","7.274","247,5"
"Souto Soares (BA)","BA","39","15.780","247,1"
"Fazenda Nova (GO)","GO","15","6.071","247,1"
"São Sebastião do Rio Verde (MG)","MG","5","2.024","247,0"
"Iguaí (BA)","BA","63","25.508","247,0"
"Sandolândia (TO)","TO","8","3.241","246,8"
"Santa Maria do Tocantins (TO)","TO","7","2.837","246,7"
"Mantenópolis (ES)","ES","33","13.382","246,6"
"Sapucaí-Mirim (MG)","MG","15","6.089","246,3"
