"Municípios","UF","Número de Internações","População","Taxa a cada 100 mil hab."
"Arraial do Cabo (RJ)","RJ","33","26.775","123,2"
"Ferraz de Vasconcelos (SP)","SP","206","167.217","123,2"
"Xique-Xique (BA)","BA","55","44.686","123,1"
"Herval (RS)","RS","8","6.502","123,0"
"Santa Rita d'Oeste (SP)","SP","3","2.439","123,0"
"Apiacá (ES)","ES","9","7.320","123,0"
"Manga (MG)","MG","24","19.531","122,9"
"Lavrinhas (SP)","SP","8","6.512","122,9"
"Ingá (PB)","PB","21","17.108","122,7"
"Várzea (PB)","PB","3","2.444","122,7"
"Barra (BA)","BA","60","48.887","122,7"
"Angicos (RN)","RN","14","11.416","122,6"
"Borborema (PB)","PB","6","4.894","122,6"
"Jacundá (PA)","PA","63","51.408","122,5"
"Montadas (PB)","PB","6","4.901","122,4"
"Marechal Deodoro (AL)","AL","56","45.746","122,4"
"Cataguases (MG)","MG","83","67.812","122,4"
"Bossoroca (RS)","RS","8","6.539","122,3"
"Porteirinha (MG)","MG","45","36.782","122,3"
"Riacho de Santana (RN)","RN","5","4.087","122,3"
"Muriaé (MG)","MG","120","98.157","122,3"
"Prado (BA)","BA","33","26.999","122,2"
"Queimadas (BA)","BA","30","24.575","122,1"
"Marcelino Ramos (RS)","RS","6","4.917","122,0"
"Cantagalo (MG)","MG","5","4.099","122,0"
"São João do Paraíso (MA)","MA","13","10.658","122,0"
"Bom Princípio (RS)","RS","14","11.498","121,8"
"Nova Hartz (RS)","RS","22","18.072","121,7"
"Boituva (SP)","SP","58","47.667","121,7"
"Tamandaré (PE)","PE","25","20.565","121,6"
"Cristino Castro (PI)","PI","12","9.899","121,2"
"Bom Despacho (MG)","MG","54","44.553","121,2"
"Formosa do Rio Preto (BA)","BA","27","22.278","121,2"
"Mateus Leme (MG)","MG","33","27.235","121,2"
"Quipapá (PE)","PE","29","23.945","121,1"
"Fraiburgo (SC)","SC","41","33.862","121,1"
"Frei Miguelinho (PE)","PE","17","14.048","121,0"
"Santa Isabel (SP)","SP","60","49.591","121,0"
"Gonzaga (MG)","MG","7","5.789","120,9"
"Agudos (SP)","SP","41","33.929","120,8"
"Cerro Azul (PR)","PR","20","16.555","120,8"
"Jaguarari (BA)","BA","37","30.637","120,8"
"Ourinhos (SP)","SP","122","101.046","120,7"
"Montenegro (RS)","RS","70","57.999","120,7"
"Maravilha (SC)","SC","26","21.555","120,6"
"Pilõezinhos (PB)","PB","6","4.976","120,6"
"São João del Rei (MG)","MG","99","82.137","120,5"
"Itaituba (PA)","PA","117","97.078","120,5"
"Honório Serpa (PR)","PR","7","5.809","120,5"
"Conceição do Pará (MG)","MG","6","4.982","120,4"
"Joaquim Gomes (AL)","AL","27","22.446","120,3"
"Sapucaia do Sul (RS)","RS","154","128.047","120,3"
"Estação (RS)","RS","7","5.826","120,2"
"Nova Crixás (GO)","GO","14","11.654","120,1"
"Antônio Carlos (MG)","MG","13","10.841","119,9"
"Serra Azul de Minas (MG)","MG","5","4.171","119,9"
"Calmon (SC)","SC","4","3.338","119,8"
"Lagoa do Carro (PE)","PE","19","15.865","119,8"
"Tapiratiba (SP)","SP","15","12.525","119,8"
"Nanuque (MG)","MG","48","40.083","119,8"
"Buíque (PE)","PE","62","51.777","119,7"
"Alto Longá (PI)","PI","16","13.362","119,7"
"Amaraji (PE)","PE","26","21.726","119,7"
"Parnaíba (PI)","PI","173","144.639","119,6"
"Anita Garibaldi (SC)","SC","10","8.364","119,6"
"São Francisco do Glória (MG)","MG","6","5.022","119,5"
"Espírito Santo do Turvo (SP)","SP","5","4.187","119,4"
"Mandaguari (PR)","PR","38","31.829","119,4"
"Anajatuba (MA)","MA","29","24.292","119,4"
"Marcação (PB)","PB","9","7.541","119,3"
"Monte Belo do Sul (RS)","RS","3","2.515","119,3"
"Ipiranga do Piauí (PI)","PI","11","9.224","119,3"
"Sentinela do Sul (RS)","RS","6","5.032","119,2"
"Centenário (TO)","TO","3","2.519","119,1"
"Tanque Novo (BA)","BA","19","15.960","119,0"
"Capão Bonito do Sul (RS)","RS","2","1.680","119,0"
"Canoas (RS)","RS","377","316.808","119,0"
"Guapé (MG)","MG","16","13.452","118,9"
"Ipaumirim (CE)","CE","14","11.777","118,9"
"Caxambu do Sul (SC)","SC","5","4.207","118,8"
"Irani (SC)","SC","11","9.271","118,6"
"Novo Brasil (GO)","GO","4","3.373","118,6"
"Boa Viagem (CE)","CE","61","51.455","118,6"
"Bannach (PA)","PA","4","3.376","118,5"
"Nova Andradina (MS)","MS","53","44.739","118,5"
"Cachoeira do Sul (RS)","RS","96","81.119","118,3"
"Passa e Fica (RN)","RN","13","10.985","118,3"
"Santa Rosa do Piauí (PI)","PI","6","5.071","118,3"
"Mariana (MG)","MG","63","53.265","118,3"
"Geminiano (PI)","PI","6","5.073","118,3"
"Santo Antônio de Lisboa (PI)","PI","7","5.920","118,2"
"Carlos Barbosa (RS)","RS","29","24.532","118,2"
"Santa Terezinha (PE)","PE","13","11.001","118,2"
"Trizidela do Vale (MA)","MA","24","20.313","118,2"
"Santana do Itararé (PR)","PR","6","5.079","118,1"
"Desterro de Entre Rios (MG)","MG","8","6.774","118,1"
"Abdon Batista (SC)","SC","3","2.542","118,0"
"Dionísio Cerqueira (SC)","SC","17","14.406","118,0"
"Marapanim (PA)","PA","31","26.294","117,9"
"Costa Marques (RO)","RO","16","13.572","117,9"
"Mucuri (BA)","BA","42","35.657","117,8"
"Mirante (BA)","BA","12","10.194","117,7"
"Planalto Alegre (SC)","SC","3","2.550","117,6"
"Sento Sé (BA)","BA","43","36.559","117,6"
"Curuçá (PA)","PA","40","34.013","117,6"
"Viradouro (SP)","SP","20","17.009","117,6"
"Santana do Cariri (CE)","CE","20","17.013","117,6"
"Orlândia (SP)","SP","46","39.146","117,5"
"São Pedro da Água Branca (MA)","MA","14","11.915","117,5"
"Datas (MG)","MG","6","5.117","117,3"
"São João do Sul (SC)","SC","8","6.823","117,3"
"Tracuateua (PA)","PA","32","27.296","117,2"
"Itatiaia (RJ)","RJ","33","28.153","117,2"
"São Valério do Sul (RS)","RS","3","2.561","117,1"
"Cafelândia (SP)","SP","19","16.231","117,1"
"Santa Izabel do Oeste (PR)","PR","15","12.814","117,1"
"Cunha (SP)","SP","25","21.372","117,0"
"Rio da Conceição (TO)","TO","2","1.710","117,0"
"Amarante do Maranhão (MA)","MA","44","37.625","116,9"
"Cafarnaum (BA)","BA","20","17.108","116,9"
"Ourolândia (BA)","BA","19","16.255","116,9"
"Berizal (MG)","MG","5","4.278","116,9"
"São Tiago (MG)","MG","12","10.272","116,8"
"Mato Queimado (RS)","RS","2","1.712","116,8"
"Pedra (PE)","PE","25","21.408","116,8"
"Timburi (SP)","SP","3","2.569","116,8"
"Japaratinga (AL)","AL","9","7.710","116,7"
"Malhada dos Bois (SE)","SE","4","3.428","116,7"
"Rio Azul (PR)","PR","16","13.716","116,7"
"Jauru (MT)","MT","12","10.291","116,6"
"Licínio de Almeida (BA)","BA","14","12.012","116,6"
"Jari (RS)","RS","4","3.432","116,6"
"Sumidouro (RJ)","RJ","17","14.593","116,5"
"Três Passos (RS)","RS","27","23.178","116,5"
"Natividade (RJ)","RJ","17","14.599","116,4"
"Icaraíma (PR)","PR","10","8.589","116,4"
"Muniz Freire (ES)","ES","21","18.037","116,4"
"Sigefredo Pacheco (PI)","PI","11","9.456","116,3"
"Alto Boa Vista (MT)","MT","6","5.158","116,3"
"Baianópolis (BA)","BA","15","12.901","116,3"
"Nova Era (MG)","MG","20","17.204","116,3"
"Grão Pará (SC)","SC","7","6.022","116,2"
"São Benedito do Sul (PE)","PE","16","13.766","116,2"
"Dores do Turvo (MG)","MG","5","4.305","116,1"
"Virginópolis (MG)","MG","12","10.334","116,1"
"Açailândia (MA)","MA","120","103.551","115,9"
"Campos Belos (GO)","GO","21","18.136","115,8"
"Regente Feijó (SP)","SP","21","18.138","115,8"
"Sarandi (RS)","RS","24","20.743","115,7"
"Mirassol (SP)","SP","61","52.734","115,7"
"Matias Olímpio (PI)","PI","12","10.377","115,6"
"Parnarama (MA)","MA","38","32.867","115,6"
"São Miguel do Guaporé (RO)","RO","25","21.645","115,5"
"Santos Dumont (MG)","MG","52","45.073","115,4"
"Ibipeba (BA)","BA","19","16.482","115,3"
"Quatro Irmãos (RS)","RS","2","1.735","115,3"
"Nova Candelária (RS)","RS","3","2.606","115,1"
"Santa Rita de Ibitipoca (MG)","MG","4","3.475","115,1"
"Piraju (SP)","SP","32","27.801","115,1"
"Ribeira do Amparo (BA)","BA","16","13.901","115,1"
"Cosmorama (SP)","SP","8","6.951","115,1"
"Dona Inês (PB)","PB","12","10.427","115,1"
"Jacuípe (AL)","AL","8","6.960","114,9"
"Pintadas (BA)","BA","12","10.445","114,9"
"Ipumirim (SC)","SC","8","6.970","114,8"
"Pinheiros (ES)","ES","27","23.540","114,7"
"Nova Olímpia (MT)","MT","20","17.461","114,5"
"Manaíra (PB)","PB","12","10.478","114,5"
"Iaciara (GO)","GO","14","12.234","114,4"
"Estrela do Norte (SP)","SP","3","2.624","114,3"
"Macarani (BA)","BA","19","16.628","114,3"
"Vargem Grande do Sul (SP)","SP","44","38.514","114,2"
"São Bernardino (SC)","SC","3","2.628","114,2"
"Riachuelo (RN)","RN","8","7.012","114,1"
"Itaueira (PI)","PI","12","10.528","114,0"
"Araxá (MG)","MG","104","91.261","114,0"
"Baía da Traição (PB)","PB","9","7.899","113,9"
"Vera Cruz (BA)","BA","42","36.889","113,9"
"Boqueirão (PB)","PB","19","16.719","113,6"
"Capistrano (CE)","CE","19","16.734","113,5"
"Alagoinhas (BA)","BA","159","140.071","113,5"
"Ibicaraí (BA)","BA","27","23.793","113,5"
"Telêmaco Borba (PR)","PR","78","68.745","113,5"
"Itapororoca (PB)","PB","19","16.748","113,4"
"Juína (MT)","MT","44","38.802","113,4"
"Firmino Alves (BA)","BA","6","5.296","113,3"
"Barro Alto (BA)","BA","15","13.244","113,3"
"Imbituba (SC)","SC","44","38.854","113,2"
"São Felipe (BA)","BA","23","20.316","113,2"
"Assis Brasil (AC)","AC","7","6.184","113,2"
"Macedônia (SP)","SP","4","3.536","113,1"
"Bom Jesus de Goiás (GO)","GO","23","20.348","113,0"
"Três de Maio (RS)","RS","26","23.007","113,0"
"Campestre do Maranhão (MA)","MA","15","13.282","112,9"
"Feira Nova do Maranhão (MA)","MA","9","7.970","112,9"
"Caicó (RN)","RN","70","62.021","112,9"
"Chapadinha (MA)","MA","82","72.691","112,8"
"Borborema (SP)","SP","16","14.187","112,8"
"Boa Esperança (PR)","PR","5","4.436","112,7"
"Muritiba (BA)","BA","32","28.394","112,7"
"Águas Vermelhas (MG)","MG","14","12.431","112,6"
"Tijucas do Sul (PR)","PR","16","14.207","112,6"
"Guará (SP)","SP","22","19.537","112,6"
"Tapiramutá (BA)","BA","19","16.884","112,5"
"Venâncio Aires (RS)","RS","72","63.984","112,5"
"Manoel Vitorino (BA)","BA","16","14.221","112,5"
"Porto dos Gaúchos (MT)","MT","6","5.341","112,3"
"Icatu (MA)","MA","28","24.930","112,3"
"Pouso Novo (RS)","RS","2","1.781","112,3"
"Olivedos (PB)","PB","4","3.565","112,2"
"Cana Verde (MG)","MG","6","5.348","112,2"
"Alagoinha (PE)","PE","15","13.377","112,1"
"Braga (RS)","RS","4","3.573","112,0"
"Santana do Paraíso (MG)","MG","30","26.803","111,9"
"Aroeiras (PB)","PB","21","18.781","111,8"
"Fazenda Vilanova (RS)","RS","4","3.580","111,7"
"Princesa (SC)","SC","3","2.688","111,6"
"Água Boa (MT)","MT","23","20.619","111,5"
"Correntes (PE)","PE","19","17.036","111,5"
"Maragogipe (BA)","BA","47","42.150","111,5"
"Pojuca (BA)","BA","38","34.086","111,5"
"Jaguaruana (CE)","CE","35","31.401","111,5"
"Palmeirópolis (TO)","TO","8","7.179","111,4"
"Alegrete (RS)","RS","84","75.386","111,4"
"Alagoinha (PB)","PB","15","13.470","111,4"
"São José da Boa Vista (PR)","PR","7","6.289","111,3"
"Brás Pires (MG)","MG","5","4.498","111,2"
"Malhada (BA)","BA","18","16.197","111,1"
"Ouro Fino (MG)","MG","34","30.595","111,1"
"Guarapari (ES)","ES","115","103.550","111,1"
"Novo Mundo (MT)","MT","8","7.206","111,0"
"Quixeramobim (CE)","CE","80","72.083","111,0"
"Chácara (MG)","MG","3","2.704","110,9"
"Antônio João (MS)","MS","9","8.112","110,9"
"Quissamã (RJ)","RJ","22","19.832","110,9"
"Passo Fundo (RS)","RS","201","181.221","110,9"
"Várzea Grande (MT)","MT","278","250.722","110,9"
"Araguaína (TO)","TO","166","149.767","110,8"
"Lajes Pintadas (RN)","RN","5","4.517","110,7"
"Timon (MA)","MA","171","154.550","110,6"
"Custódia (PE)","PE","37","33.443","110,6"
"Cafelândia (PR)","PR","16","14.471","110,6"
"São Miguel do Passa Quatro (GO)","GO","4","3.618","110,6"
"Nossa Senhora dos Remédios (PI)","PI","9","8.149","110,4"
"Redentora (RS)","RS","11","9.963","110,4"
"Jaguaripe (BA)","BA","18","16.308","110,4"
"Moreno (PE)","PE","62","56.183","110,4"
"Sapezal (MT)","MT","20","18.132","110,3"
"Sorriso (MT)","MT","73","66.193","110,3"
"Barra do Choça (BA)","BA","38","34.466","110,3"
"Santa Luz (PI)","PI","6","5.455","110,0"
"Águas de Santa Bárbara (SP)","SP","6","5.457","110,0"
"Rio Negrinho (SC)","SC","43","39.122","109,9"
"Tamboril do Piauí (PI)","PI","3","2.730","109,9"
"Mococa (SP)","SP","71","64.728","109,7"
"Neópolis (SE)","SE","20","18.242","109,6"
"Santo Antônio do Pinhal (SP)","SP","7","6.386","109,6"
"Paudalho (PE)","PE","56","51.092","109,6"
"Gravatá (PE)","PE","83","75.726","109,6"
"Piracaia (SP)","SP","27","24.659","109,5"
"Parelhas (RN)","RN","22","20.100","109,5"
"São Bento do Tocantins (TO)","TO","5","4.569","109,4"
"Soledade (RS)","RS","32","29.246","109,4"
"Paranapoema (PR)","PR","3","2.746","109,2"
"Pindorama (SP)","SP","16","14.646","109,2"
"Pombos (PE)","PE","28","25.634","109,2"
"Cascavel (CE)","CE","71","65.019","109,2"
"Andaraí (BA)","BA","14","12.822","109,2"
"Nova Iguaçu de Goiás (GO)","GO","3","2.750","109,1"
"São Bento do Sul (SC)","SC","80","73.348","109,1"
"Catu (BA)","BA","55","50.455","109,0"
"Campo Formoso (BA)","BA","72","66.072","109,0"
"Apiaí (SP)","SP","27","24.791","108,9"
"Vargem (SC)","SC","3","2.755","108,9"
"Lagoa (PB)","PB","5","4.592","108,9"
"Grandes Rios (PR)","PR","7","6.429","108,9"
"Anhumas (SP)","SP","4","3.674","108,9"
"Brunópolis (SC)","SC","3","2.757","108,8"
"Mucurici (ES)","ES","6","5.515","108,8"
"Vereda (BA)","BA","7","6.436","108,8"
"Nova Xavantina (MT)","MT","21","19.310","108,8"
"Arame (MA)","MA","34","31.295","108,6"
"Rio Bonito do Iguaçu (PR)","PR","14","12.887","108,6"
"São Lourenço do Oeste (SC)","SC","23","21.174","108,6"
"Descoberto (MG)","MG","5","4.605","108,6"
"Itapuí (SP)","SP","13","11.974","108,6"
"Caririaçu (CE)","CE","28","25.809","108,5"
"Guajará-Mirim (RO)","RO","45","41.479","108,5"
"Palestina do Pará (PA)","PA","8","7.376","108,5"
"Cerro Largo (RS)","RS","14","12.909","108,5"
"Santa Cruz da Vitória (BA)","BA","7","6.460","108,4"
"São Domingos do Maranhão (MA)","MA","36","33.229","108,3"
"Sapiranga (RS)","RS","78","71.998","108,3"
"Dom Expedito Lopes (PI)","PI","7","6.463","108,3"
"Quixelô (CE)","CE","17","15.700","108,3"
"Anapurus (MA)","MA","15","13.854","108,3"
"Rio Casca (MG)","MG","15","13.855","108,3"
"Santa Rosa de Lima (SE)","SE","4","3.696","108,2"
"Palestina (AL)","AL","5","4.624","108,1"
"Gameleira (PE)","PE","30","27.749","108,1"
"Jericó (PB)","PB","8","7.401","108,1"
"Rodeio Bonito (RS)","RS","6","5.551","108,1"
"Concórdia (SC)","SC","72","66.629","108,1"
"Padre Paraíso (MG)","MG","20","18.526","108,0"
"Turiúba (SP)","SP","2","1.854","107,9"
"Rio de Contas (BA)","BA","14","12.982","107,8"
"Arapiraca (AL)","AL","229","212.350","107,8"
"Tenório (PB)","PB","3","2.783","107,8"
"Catanduva (SP)","SP","119","110.441","107,7"
"Santa Vitória (MG)","MG","19","17.635","107,7"
"Macaubal (SP)","SP","8","7.430","107,7"
"Santa Rita de Cássia (BA)","BA","28","26.009","107,7"
"Ângulo (PR)","PR","3","2.790","107,5"
"Capanema (PA)","PA","68","63.263","107,5"
"Capela de Santana (RS)","RS","11","10.238","107,4"
"Bataguassu (MS)","MS","21","19.547","107,4"
"Mulungu (PB)","PB","10","9.312","107,4"
"Sangão (SC)","SC","11","10.253","107,3"
"Torres (RS)","RS","36","33.625","107,1"
"Tangará (SC)","SC","9","8.408","107,0"
"Ariquemes (RO)","RO","96","89.785","106,9"
"Pindaré-Mirim (MA)","MA","33","30.868","106,9"
"Itambacuri (MG)","MG","24","22.451","106,9"
"Piúma (ES)","ES","19","17.776","106,9"
"Taperoá (BA)","BA","20","18.715","106,9"
"Terra Santa (PA)","PA","18","16.850","106,8"
"Fátima (TO)","TO","4","3.746","106,8"
"Estância (SE)","SE","68","63.700","106,8"
"Cotiporã (RS)","RS","4","3.751","106,6"
"São José da Barra (MG)","MG","7","6.566","106,6"
"Vila Boa (GO)","GO","5","4.692","106,6"
"Protásio Alves (RS)","RS","2","1.877","106,6"
"São Félix (BA)","BA","15","14.084","106,5"
"Monte Santo (BA)","BA","52","48.847","106,5"
"Esplanada (BA)","BA","35","32.889","106,4"
"Aparecida de Goiânia (GO)","GO","481","452.149","106,4"
"São Gonçalo do Piauí (PI)","PI","5","4.701","106,4"
"Russas (CE)","CE","74","69.581","106,4"
"Francisco Dantas (RN)","RN","3","2.821","106,3"
"Orindiúva (SP)","SP","6","5.649","106,2"
"Ibiporã (PR)","PR","50","47.076","106,2"
"Denise (MT)","MT","9","8.479","106,1"
"Cacique Doble (RS)","RS","5","4.713","106,1"
"São Mateus do Sul (PR)","PR","43","40.539","106,1"
"Viseu (PA)","PA","60","56.570","106,1"
"Pedra Preta (MT)","MT","16","15.099","106,0"
"Buritizeiro (MG)","MG","28","26.452","105,9"
"Guaraniaçu (PR)","PR","15","14.181","105,8"
"Delfinópolis (MG)","MG","7","6.618","105,8"
"São Félix do Coribe (BA)","BA","15","14.184","105,8"
"Quixaba (PE)","PE","7","6.621","105,7"
"Camboriú (SC)","SC","65","61.518","105,7"
"Olaria (MG)","MG","2","1.894","105,6"
"Dianópolis (TO)","TO","20","18.940","105,6"
"Parecis (RO)","RO","5","4.738","105,5"
"Brumado (BA)","BA","67","63.558","105,4"
"Centenário (RS)","RS","3","2.852","105,2"
"Peritiba (SC)","SC","3","2.852","105,2"
"São João Batista do Glória (MG)","MG","7","6.655","105,2"
"Maximiliano de Almeida (RS)","RS","5","4.754","105,2"
"São José do Ouro (RS)","RS","7","6.660","105,1"
"Mascote (BA)","BA","15","14.272","105,1"
"Marabá Paulista (SP)","SP","5","4.760","105,0"
"Sengés (PR)","PR","19","18.090","105,0"
"Peixoto de Azevedo (MT)","MT","32","30.471","105,0"
"Batatais (SP)","SP","58","55.263","105,0"
"Palmeira dos Índios (AL)","AL","73","69.588","104,9"
"Conceição do Castelo (ES)","ES","12","11.440","104,9"
"Cáceres (MT)","MT","91","86.864","104,8"
"Igaratá (SP)","SP","9","8.599","104,7"
"Juara (MT)","MT","34","32.517","104,6"
"São Vendelino (RS)","RS","2","1.914","104,5"
"Formigueiro (RS)","RS","7","6.702","104,4"
"Panorama (SP)","SP","15","14.362","104,4"
"Senador Pompeu (CE)","CE","26","24.895","104,4"
"Marataízes (ES)","ES","35","33.516","104,4"
"Belo Jardim (PE)","PE","75","71.827","104,4"
"Poço das Antas (RS)","RS","2","1.916","104,4"
"Balsas (MA)","MA","87","83.348","104,4"
"Epitaciolândia (AC)","AC","16","15.330","104,4"
"Jangada (MT)","MT","8","7.667","104,3"
"Ouro Branco (MG)","MG","36","34.513","104,3"
"Dom Macedo Costa (BA)","BA","4","3.838","104,2"
"Indiara (GO)","GO","14","13.435","104,2"
"Machadinho D'Oeste (RO)","RO","32","30.711","104,2"
"Nova Mutum (MT)","MT","33","31.674","104,2"
"Pedrinhas Paulista (SP)","SP","3","2.880","104,2"
"Santa Cruz (PE)","PE","14","13.445","104,1"
"Conceição da Barra de Minas (MG)","MG","4","3.847","104,0"
"Pancas (ES)","ES","22","21.161","104,0"
"Gaspar (SC)","SC","59","56.766","103,9"
"Astorga (PR)","PR","25","24.058","103,9"
"Alpestre (RS)","RS","8","7.707","103,8"
"Forquilhinha (SC)","SC","23","22.171","103,7"
"Socorro (SP)","SP","37","35.672","103,7"
"Pocrane (MG)","MG","9","8.677","103,7"
"Iturama (MG)","MG","35","33.769","103,6"
"Caseiros (RS)","RS","3","2.895","103,6"
"Sede Nova (RS)","RS","3","2.895","103,6"
"Passagem Franca (MA)","MA","18","17.378","103,6"
"Cruzeiro do Sul (AC)","AC","83","80.163","103,5"
"Catarina (CE)","CE","19","18.361","103,5"
"Dom Viçoso (MG)","MG","3","2.901","103,4"
"Bocaina de Minas (MG)","MG","5","4.837","103,4"
"Jesuítas (PR)","PR","9","8.710","103,3"
"Bandeira (MG)","MG","5","4.842","103,3"
"Cantá (RR)","RR","14","13.565","103,2"
"Mambaí (GO)","GO","7","6.790","103,1"
"Magé (RJ)","RJ","230","223.244","103,0"
"Novo Lino (AL)","AL","12","11.653","103,0"
"Santo Antônio do Sudoeste (PR)","PR","19","18.458","102,9"
"Cocal dos Alves (PI)","PI","6","5.830","102,9"
"Aguanil (MG)","MG","4","3.887","102,9"
"Cuitegi (PB)","PB","7","6.805","102,9"
"Quatá (SP)","SP","13","12.645","102,8"
"Machacalis (MG)","MG","7","6.816","102,7"
"Marcolândia (PI)","PI","8","7.796","102,6"
"Francisco Macedo (PI)","PI","3","2.924","102,6"
"Moema (MG)","MG","7","6.823","102,6"
"Várzea Branca (PI)","PI","5","4.875","102,6"
"Quixabeira (BA)","BA","9","8.776","102,6"
"Aripuanã (MT)","MT","19","18.532","102,5"
"Santa Rosa de Viterbo (SP)","SP","24","23.410","102,5"
"Camanducaia (MG)","MG","21","20.484","102,5"
"Umuarama (PR)","PR","101","98.654","102,4"
"Santa Cruz do Rio Pardo (SP)","SP","44","43.002","102,3"
"Paulistana (PI)","PI","20","19.547","102,3"
"União da Vitória (PR)","PR","53","51.815","102,3"
"Içara (SC)","SC","48","46.945","102,2"
"São João dos Patos (MA)","MA","25","24.456","102,2"
"Gurinhém (PB)","PB","14","13.714","102,1"
"Tarumã (SP)","SP","13","12.741","102,0"
"Mantena (MG)","MG","27","26.481","102,0"
"Natal (RN)","RN","811","795.618","101,9"
"Sarapuí (SP)","SP","9","8.842","101,8"
"Divinolândia de Minas (MG)","MG","7","6.888","101,6"
"Alvinlândia (SP)","SP","3","2.952","101,6"
"Uruguaiana (RS)","RS","125","123.020","101,6"
"Fernandes Tourinho (MG)","MG","3","2.957","101,5"
"Barra Longa (MG)","MG","6","5.915","101,4"
"Crisópolis (BA)","BA","20","19.726","101,4"
"Aratuba (CE)","CE","12","11.844","101,3"
"Maringá (PR)","PR","352","347.453","101,3"
"Brasiléia (AC)","AC","22","21.733","101,2"
"Aloândia (GO)","GO","2","1.977","101,2"
"Novo São Joaquim (MT)","MT","6","5.932","101,1"
"Itacaré (BA)","BA","24","23.731","101,1"
"Ermo (SC)","SC","2","1.978","101,1"
"Monsenhor Paulo (MG)","MG","8","7.915","101,1"
"Itacoatiara (AM)","AM","87","86.151","101,0"
"Crisólita (MG)","MG","6","5.945","100,9"
"Pau Brasil (BA)","BA","11","10.904","100,9"
"Caconde (SP)","SP","18","17.844","100,9"
"Mondaí (SC)","SC","10","9.918","100,8"
"Santo Ângelo (RS)","RS","75","74.392","100,8"
